title,source_document_url,type,uuid,language,published_at,evaluation_type,sector,series,series_number,datainnsamling 1,datainnsamling 2,datainnsamling 3,datainnsamling 4,datainnsamling 5,method,length
Vurdering av nye tekniske løsninger for å redusere utslippene fra fiskeoppdrett i sjø,,Evaluering,323b04e3-fe26-485c-9a23-4ecf4b8e9f4d,nob,2010,Tidsuavhengig evaluering,Miljø,Rapport IRIS,2010/134,Dokumentstudier,Observasjon,,,,,112308
Logistikkostnader i norske vareleverende bedrifter. Nøkkeltall og internasjonale sammenlikninger ,,Evaluering,325253a3-b90d-4bef-acc3-8a6ac31a4de4,nob,2010,Samfunnsøkonomisk analyse,Transport og kommunikasjon,TØI-rapport,1052/2010,Spørreskjema,Statistikk,,,,,263952
Riksrevisjonens undersøkelse av måloppnåelse og prosjektstyring i prosjektet EDB lokal forvaltning i Hæren og Heimevernet,,Riksrevisjonsrapport,3262154e-4b5f-4728-8bad-7915a707dd27,nob,2000,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,nr. 3:11 (1999-2000),Intervju,Spørreskjema,Dokumentstudier,,,,151701
Utviklingshemmedes bo- og tjenestesituasjon 10 år etter HVPU-reformen,,Evaluering,326da9e2-de5c-4a5a-a7e3-398160bdbffe,nob,2007,Etterevaluering,Bolig og eiendom,,,Spørreskjema,,,,,,786687
Farlig god sjåfør,,Evaluering,327048f3-71a4-48a8-b613-0df4e2aa13d0,nob,2005,Tidsuavhengig evaluering,Transport og kommunikasjon,Rapport RF,2005/159,Spørreskjema,,,,,Logistisk regresjonsanalyse,83776
Vurdering av behovet for helseoppfølgning av dykkere i petroleumsvirksomheten,,Evaluering,327ebe28-bd2a-496a-aedc-68f1d93bea83,nob,2010,Etterevaluering,Arbeid og velferd,STAMI-rapport,1 (2010) ,Dokumentstudier,,,,,Dokumentstudier,178034
Samfunnsøkonomisk analyse av tiltak innenfor godstransport,,Forhåndsutredning,32818ca7-9611-476e-a4b1-a24e1ccf66a6,nob,2015,Samfunnsøkonomisk analyse,Transport og kommunikasjon,Rapport,2015/37,Statistikk,,,,,,436066
Evaluering av NTNU Technology Transfer,,Evaluering,3297227b-5022-4959-9e23-8e0d32f6c920,nob,2006,Underveisevaluering,Utdanning og forskning,Arbeidsnotat,36/2006,Intervju,Spørreskjema,Dokumentstudier,,,Kvantitativ og kvalitativ,261103
Evaluation of Research in Engineering Science in Norway,,Evaluering,329bda45-061b-4f48-b33a-7e3d23ac1971,eng,2004,Etterevaluering,Utdanning og forskning,,,Dokumentstudier,Observasjon,,,,,170929
Real-Time Evaluation of Norway’s International Climate and Forest Initiative : Contributions to National REDD+ Processes 2007-2010,,Evaluering,32b271a1-9242-4105-bfff-1a3060c2b269,eng,2010,Underveisevaluering,Internasjonalt,Evalueringsrapport,17/2010,Intervju,Spørreskjema,Dokumentstudier,Observasjon,,,232440
Evaluering av gaupeklaver på lam som forebyggende tiltak,,Evaluering,32c96779-0242-4039-993e-44d86d7d7e5a,nob,2006,Etterevaluering,"Mat, fisk og landbruk",Bioforsk rapport,158/06,Dokumentstudier,,,,,,68694
Med rett til å varsle,,Evaluering,32d94712-455f-4616-90ec-9415ccca0198,nob,2010,Tidsuavhengig evaluering,Arbeid og velferd,Fafo-rapport,2010:18:00,Spørreskjema,,,,,Strategisk utvalgsmetode,258517
For og med barn og unge? evaluering av statlige tilskuddsordninger for frivillige barne- og ungdomsorganisasjoner,,Evaluering,330e82d0-2720-4da1-8380-d1ef4aad5859,nob,2004,Etterevaluering,Familie og oppvekst,,,Intervju,Spørreskjema,Dokumentstudier,Observasjon,,,279848
Lokale skatter og insentiver til næringsutvikling,,Evaluering,3315083a-4cba-4054-a0af-608b2585e12d,nob,2013,Tidsuavhengig evaluering,Kommuner og distrikter,SØF-rapport,feb.13,Spørreskjema,Dokumentstudier,Statistikk,,,Statistiske analyser,211007
"Evaluering av sjøfuglovervåking utført i regi av fylkesmannsetaten, samt forslag til overvåking i verneområdene for sjøfugl
",,Evaluering,332d9281-a89d-48cb-8bcf-e515cf7da634,nob,2007,Etterevaluering,Miljø,NINA rapport,247/2007,Observasjon,,,,,,50605
Statlig dialog med kommunene på det boligsosiale området,,Evaluering,335e86fb-6c1d-4780-ad7d-80d46332ffb6,nob,2012,Samfunnsøkonomisk analyse,Bolig og eiendom,,,Intervju,Dokumentstudier,,,,,239505
Distriktspolitisk virkeområde for Norge 2006,,Evaluering,3386d60c-1535-47b3-b5ac-b26cbffaa3ab,nob,2006,Forhåndsevaluering,Kommuner og distrikter,TØI-rapport,824/2006,Dokumentstudier,,,,,,353435
Ekkoloddmålinger som verktøy for beregning av volumendringer i et dypvannsdeponi,,Evaluering,338f5839-43ba-4f89-84ba-3a1839485500,nob,2007,Underveisevaluering,Miljø,Teknisk rapport,2006-2132,Dokumentstudier,Observasjon,,,,,NULL
"Programevaluering 2007 av førskolelærerutdanningen, Bachelor ved Høgskolen i Nord-Trøndelag",,Evaluering,338f7ca6-bd77-447f-9c9b-ebb21fa95353,nob,2007,Underveisevaluering,Utdanning og forskning,,,Statistikk,,,,,"Utvalgsmøter - innhenting av data, statistikk",34048
Evaluering av JEEP II,,Evaluering,3395fe11-e79b-40b0-9dad-d495d191d55a,nob,2019,Etterevaluering,Utdanning og forskning,,,Intervju,Spørreskjema,Dokumentstudier,,,,184147
Levekår i mottak for enslige mindreårige asylsøkere,,Evaluering,33b2b8ac-eb97-4c3d-b649-d54bd551836a,nob,2013,Underveisevaluering,Innvandring og inkludering,Rapport,2013:03:00,Intervju,Dokumentstudier,Statistikk,Observasjon,,,630319
"Kostnader og nytte for miljø og samfunn ved å stille krav om injeksjon/reinjeksjon av produsert vann, nullutslipp av borekaks og borevæske og inkludere radioaktivitet i nullutslippsmålet",,Evaluering,33b36969-98af-49f7-9d32-8f788f64d2f0,nob,2008,Forhåndsevaluering,Miljø,,,Dokumentstudier,,,,,,123645
Regionforstørring og utslipp av klimagasser,,Evaluering,33bc2b9f-1d8a-47ee-a6d4-7603498185ba,nob,2008,Underveisevaluering,Kommuner og distrikter,TØI-rapport,978/2008,Spørreskjema,Statistikk,Observasjon,,,,54831
Skog som biomasseressurs,,Evaluering,33dc364f-9c5e-4c21-8b9f-aed1835ceb37,nob,2011,Forhåndsevaluering,Miljø,,,Dokumentstudier,Statistikk,,,,,244116
