Column,title,source_document_url,type,actor-name,language,published_at,length
0,Indikatorer for digital deltakelse og kompetanse i den voksne befolkningen,https://www.regjeringen.no/contentassets/9109c12db6fa46629ef8d8415fb58fc6/nifurapportkmd2019-8.pdf,Forhåndsutredning,NIFU,no,2019-04-24 20:10:00,110911
1,Evaluering av norsk deltakelse i EUs rammeprogram for konkurranse og innovasjon,,Evaluering,MENON Business Economics|Pöyry Norge,nb,2011-01-01 00:00:00,158229
2,Mid -term evaluation of eleven research schools,,Evaluering,Internasjonal evalueringskomité,en,2020-01-01 00:00:00,196164
3,Vurdering av Naturindekser i Norge med fokus på de marine indikatorene,,Evaluering,Havforskningsinstituttet,nb,2011-01-01 00:00:00,44603
4,Konseptvalgutredning (KVU) for kryssing av Oslofjorden,https://www.regjeringen.no/contentassets/5ae652b3f4664eeeab76a688ca45e296/kvu_oslofjorden_2014.pdf,KVU/KS1/KS2,"Statens vegvesen|Vegdirektoratet|ITA-arbeidsgruppen ""Helse og sikkerhet""|NTNU - Norges teknisk-naturvitenskapelige universitet|PROSAM / Statens vegvesen. Region Øst",no,2014-11-19 20:06:00,27175
5,Et velfungerende leiemarked?,,Evaluering,"Norsk institutt for forskning om oppvekst, velferd og aldring (NOVA)",nb,2014-01-01 00:00:00,97309
6,Riksrevisjonens undersøkelse av Norfunds drift og forvaltning,,Riksrevisjonsrapport,Riksrevisjonen,nb,2007-01-01 00:00:00,265996
7,Systematisering av erfaringer med passivhus,,Evaluering,SINTEF,nb,2012-01-01 00:00:00,288550
8,"Anbud, virksomhetsoverdragelse og ansettelsesforhold i lokal kollektivtransport",,Evaluering,Transportøkonomisk institutt (TØI),nb,2006-01-01 00:00:00,217804
9,Fremtidig dekommisjonering av de nukleære anleggene i Norge,,KVU/KS1/KS2,Wikborg Rein|Det Norske Veritas (DNV)|Samfunns-og næringslivsforskning (SNF)|TAABCO Research and Development Consultants,nb,2015-01-01 00:00:00,443725
10,"Evaluering av alkoholkampanjen ""Alvorlig talt""",,Evaluering,SIRUS,nb,2005-01-01 00:00:00,219136
11,Ny Giv - eksempelsamling,https://www.regjeringen.no/globalassets/upload/kd/kampanjer/nygiv/presentasjoner/samarbeid_om_oppfolging_av_ungdom.pdf,Evaluering,Kunnskapsdepartementet (KD),no,2013-10-12 00:00:00,87557
12,Risiko knyttet til gassutslipp under vann,,Evaluering,Preventor,nb,2006-01-01 00:00:00,90877
13,Overvåking av miljøforholdene i Sørfjorden 2012,,Evaluering,Norsk institutt for vannforskning (NIVA),nb,2013-01-01 00:00:00,162301
14,International Experience with E-Voting,,Evaluering,International Foundation for Electoral Systems,en,2012-01-01 00:00:00,567944
15,Tverrfaglig boligsosial utdanning 2008-2009,,Evaluering,Høgskolen i Finnmark,nb,2010-01-01 00:00:00,27704
16,Det riktige valget?,,Evaluering,Forskningsstiftelsen fafo,nb,2012-01-01 00:00:00,300495
17,Rapport fra Granskingsutvalget for barneverninstitusjoner i Rogaland,,Evaluering,Granskingsutvalget for barneverninstitusjoner i Rogaland,nb,2006-01-01 00:00:00,451688
18,Kommunenes utgifter til bosetting og integrering av flyktninger og personer med opphold på humanitært grunnlag i 2019,https://www.imdi.no/contentassets/9e95fe9249324198904fbae0f6dab785/utgifter-til-bosetting-og-integrering-2019.pdf,Kartlegging,Beregningsutvalget,no,2020-01-01 20:12:00,144345
19,Riksrevisjonens undersøkelse av styring og oppfølging av drift og måloppnåelse i Space Norway AS,https://www.riksrevisjonen.no/globalassets/rapporter/no-2020-2021/undersokelse-av-styring-og-oppfolging-av-drift-og-maloppnaelse-i-space-norway-as.pdf,Riksrevisjonsrapport,Riksrevisjonen,no,2020-12-15 17:10:00,169467
20,Kvalitetssikring av Førdepakken,https://www.regjeringen.no/contentassets/2ebfeab5cfe04e5d8718c93660dfae1b/ks2_fordepakken.pdf,KVU/KS1/KS2,Asplan Viak,no,2015-04-16 20:06:00,130167
21,Riksrevisjonens undersøking av om statlege barnevernsmyndigheiter sikrar det beste for barn i barnevernsinstitusjonar,https://www.riksrevisjonen.no/globalassets/rapporter/no-2019-2020/barnbarnevernsinstitusjonaroppsummering.pdf,Riksrevisjonsrapport,Riksrevisjonen,no,2020-09-30 17:09:00,76098
22,Analyse av arealutvikling og arealkonflikter,,Evaluering,Asplan Viak,nb,2016-01-01 00:00:00,117398
23,Konseptvalgutredning for lokalisering av marine FoU-virksomheter i Bergen,https://www.regjeringen.no/contentassets/cd949726c03e4ad290540a2efaa2ab2e/kvu-marin-fou-sluttrapport.pdf,KVU/KS1/KS2,Metier|OPAK|LINK arkitektur,no,2017-03-01 20:08:00,293643
24,"Kompetanseplattform for
livslang læring_x000D_",https://hkdir.no/content/download/5161/file/DIGITAL_KOMPETANSEPLATTFORM_ENDELIG_RAPPORT.pdf,Forhåndsutredning,Lånekassen|Direktoratet for høyere utdanning og kompetanse (HK-dir)|Sikt,no,2022-03-18 17:13:00,264225
25,Lungemedisinsk og nevrologisk forundersøkelse (baseline) og oppfølgingsundersøkelse i forbindelse med operasjonell dypdykking i dybdeområdet 180-225 meter,https://www.ptil.no/contentassets/fc5afd783f19457e9605b4b60c235112/rapport-til-ptil-us-for-og-etter-dykk-180-225-msw-24.01.2020.pdf,Forhåndsutredning,Haukeland Universitetssykehus,no,2020-01-01 20:16:00,23268
26,Kundeeffektundersøkelse : bedrifters vurdering av Innovasjon Norges virkemidler,,Evaluering,Samfunns- og næringslivsforskning (SNF)|Oxford Research,nb,2005-01-01 00:00:00,308395
27,Kundeeffektundersøkelse av bedriftsrettede virkemidler fra Innovasjon Norge,,Evaluering,Nordlandsforskning,nb,2005-01-01 00:00:00,329617
28,”Derfor blir vi her” – innvandrere i Distrikts-Norge,https://www.imdi.no/contentassets/b5330835c8d543c89dc82d2df34cbc35/rapport-2012.-derfor-blir-vi-her--innvandrere-i-distrikts-norge,Studie,By- og regionforskningsinstituttet NIBR,no,2012-01-01 20:17:00,447170
29,Ung & Ute,https://www.regjeringen.no/contentassets/6a6ae291daa04fe0a3165cd15235dc3c/afi_rapport_ungogute.pdf,Studie,AFI,no,2016-11-10 20:08:00,527338
30,Riksrevisjonens undersøkelse av konsulentbruk i staten,,Riksrevisjonsrapport,Riksrevisjonen,nb,2017-01-01 00:00:00,156937
31,Gir bedre veger mindre klimagassutslipp?,,Evaluering,Transportøkonomisk institutt (TØI),nb,2009-01-01 00:00:00,297332
32,BLD i Europa,https://www.regjeringen.no/contentassets/00653d169aff40cdb13eb7e747421163/bld-i-europa.pdf,Strategi/plan,"Barne- og familiedepartementet (BFD)|Barne- og likestillingsdepartementet|Barne-, likestillings- og inkluderingsdepartementet",no,2016-10-18 20:07:00,25221
