title;source_document_url;type;name;uuid;language;published_at;length
Indikatorer for digital deltakelse og kompetanse i den voksne befolkningen;https://www.regjeringen.no/contentassets/9109c12db6fa46629ef8d8415fb58fc6/nifurapportkmd2019-8.pdf;Forhåndsutredning;NIFU;000cfcc5-cc9d-4b71-bf17-d7bcdc49aacf;no;2019-04-24 20:10:45;110911
Evaluering av norsk deltakelse i EUs rammeprogram for konkurranse og innovasjon;;Evaluering;MENON Business Economics|Pöyry Norge;00110f7c-ca08-4ea4-95a5-e92ac3b17e98;nob;2011-01-01 00:00:00;158229
Mid -term evaluation of eleven research schools;;Evaluering;Internasjonal evalueringskomité;0018b0d6-1b70-4b2a-a7cf-f680a889c7d6;eng;2020-01-01 00:00:00;196164
Vurdering av Naturindekser i Norge med fokus på de marine indikatorene;;Evaluering;Havforskningsinstituttet;002d6149-fcd4-42a4-a950-e6b4cef35f72;nob;2011-01-01 00:00:00;44603
Konseptvalgutredning (KVU) for kryssing av Oslofjorden;https://www.regjeringen.no/contentassets/5ae652b3f4664eeeab76a688ca45e296/kvu_oslofjorden_2014.pdf;KVU/KS1/KS2;"Statens vegvesen|Statens vegvesen Vestfold|Statens vegvesen Buskerud|Statens vegvesen Vegdirektoratet|Statens vegvesen. Vegdirektoratet|Statens vegvesen Vest-Agder|Statens vegvesen. Nord-Trøndelag|Statens vegvesen Region midt|Staten vegvesen|Statens vegvesen. Hordaland vegkontor|Statens vegvesen. Region øst|Statens vegvesen. Møre og Romsdal ; Vegdirektoratet|Statens vegvesen. Region vest|Statens vegvesen Telemark|Vegdirektoratet ; Statens vegvesen. Vestfold|ITA-arbeidsgruppen ""Helse og sikkerhet""|Statens vegvesen Buskerud, Vestfold og Telemark|Statens vegvesens|Statens vegvesen Østfold|Statens vegvesen ... [et al.]|NTNU ; Statens vegvesen|Statens vegvesen. Region nord|Statens vegvesen. Akershus|Statens vegvesen Region øst|Statens vegvesen, Region vest|Statens vegvesen, Region nord|Statens vegvesen, Region sør|Statenes vegvesen Region midt |Vegvesenet|Statens vegvesen. Region sør|PROSAM / Statens vegvesen. Region Øst|[Statens vegvesen]|Statens vegvesen. Aust-Agder|Statens vegvesen. Sogn og Fjordane|Statens vegvesen. Region midt|Statens vegvesen/Norwegian Public Road Administration (NPRA)|Statens vegvesen Oslo vegkontor";004a5017-538b-468b-99d0-a37a7c790687;no;2014-11-19 20:06:28;27175
Et velfungerende leiemarked?;;Evaluering;Norsk institutt for forskning om oppvekst, velferd og aldring (NOVA);00572f3b-de34-4248-a921-f2b18e553fe0;nob;2014-01-01 00:00:00;97309
Riksrevisjonens undersøkelse av Norfunds drift og forvaltning;;Riksrevisjonsrapport;Riksrevisjonen;005e4769-ba60-4ac7-95e2-2867c3dce0e6;nob;2007-01-01 00:00:00;265996
Systematisering av erfaringer med passivhus;;Evaluering;SINTEF|SINTEF, Statens vegvesen|SINTEF Teknologi og samfunn|SINTEF Samferdselsteknikk|SINTEF Bygg og miljø|SINTEF Teknologi og samfunn. Helsetjenesteforskning|SINTEF Helse|SINTEF, Teknologi og samfunn|SINTEF Community|SINTEF Energiforskning |SINTEF IKT|SINTEF petroleumsforskning|SINTEF Byggforsk|SINTEF fiskeri og havbruk|SINTEF Building and Infrastructure|SINTEF Digital|SINTEF NHL;006acebb-d7c5-449e-977f-9e50643a4a9d;nob;2012-01-01 00:00:00;288550
Anbud, virksomhetsoverdragelse og ansettelsesforhold i lokal kollektivtransport;;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;006b8011-d3ed-4a1c-9e6c-85d45bbf749f;nob;2006-01-01 00:00:00;217804
Fremtidig dekommisjonering av de nukleære anleggene i Norge;;KVU/KS1/KS2;Wikborg Rein|Det Norske Veritas |Samfunns-og næringslivsforskning (SNF)|TAABCO Research and Development Consultants;0072360d-1158-4fd8-8e16-6d890b8a7059;nob;2015-01-01 00:00:00;443725
"Evaluering av alkoholkampanjen ""Alvorlig talt""";;Evaluering;SIRUS;0073d7b0-bb12-4319-93bc-b20c6484e91e;nob;2005-01-01 00:00:00;219136
Ny Giv - eksempelsamling;https://www.regjeringen.no/globalassets/upload/kd/kampanjer/nygiv/presentasjoner/samarbeid_om_oppfolging_av_ungdom.pdf;Evaluering;Kunnskapsdepartementet mfl.;0075e387-c4ce-46ed-9f32-542ac26f1860;no;2013-12-10 00:00:00;87557
Risiko knyttet til gassutslipp under vann;;Evaluering;Preventor;0076730e-f0c4-4bf6-8fb6-6a0390b4b6f1;nob;2006-01-01 00:00:00;90877
Overvåking av miljøforholdene i Sørfjorden 2012;;Evaluering;Norsk institutt for vannforskning (NIVA);0079d54a-a5b4-45b1-b6a9-ec0705166b09;nob;2013-01-01 00:00:00;162301
International Experience with E-Voting;;Evaluering;International Foundation for Electoral Systems;009469bc-2ce3-4c76-b2cb-c15558a39f11;eng;2012-01-01 00:00:00;567944
Tverrfaglig boligsosial utdanning 2008-2009;;Evaluering;Høgskolen i Finnmark;00b1254f-92a4-4e62-a613-728941988456;nob;2010-01-01 00:00:00;27704
Det riktige valget?;;Evaluering;Forskningsstiftelsen fafo|Fafo;00b38f51-8ee9-4eb7-92c9-f15cb860370f;nob;2012-01-01 00:00:00;300495
Rapport fra Granskingsutvalget for barneverninstitusjoner i Rogaland;;Evaluering;Granskingsutvalget for barneverninstitusjoner i Rogaland;00c35567-48b3-4ee7-9664-7f678a588890;nob;2006-01-01 00:00:00;451688
